movieid,clientid,rate
01J4Z1K7N3P8Q2W5R6T9V0X2D8,01J5B3C9D5E0F7G8H9I0J1K2N7,3
01J4Z1K7N3P8Q2W5R6T9V0X2E0,01J5B3C9D5E0F7G8H9I0J1K2N8,4
01J5A2B8C4D9E3F6G7H8I9J0K1,01J5B3C9D5E0F7G8H9I0J1K2N9,5
01J5A2B8C4D9E3F6G7H8I9J0K3,01J5B3C9D5E0F7G8H9I0J1K2P0,1
01J5A2B8C4D9E3F6G7H8I9J0K5,01J5B3C9D5E0F7G8H9I0J1K2P1,3
01J5A2B8C4D9E3F6G7H8I9J0K7,01J5B3C9D5E0F7G8H9I0J1K2P2,4
01J5A2B8C4D9E3F6G7H8I9J0L1,01J5B3C9D5E0F7G8H9I0J1K2P4,5
01J5A2B8C4D9E3F6G7H8I9J0L3,01J5B3C9D5E0F7G8H9I0J1K2P5,3
01J5A2B8C4D9E3F6G7H8I9J0L5,01J5B3C9D5E0F7G8H9I0J1K2P6,5
01J5A2B8C4D9E3F6G7H8I9J0L7,01J5B3C9D5E0F7G8H9I0J1K2P7,2
01J5A2B8C4D9E3F6G7H8I9J0L9,01J5B3C9D5E0F7G8H9I0J1K2P8,4
01J5A2B8C4D9E3F6G7H8I9J0M1,01J5B3C9D5E0F7G8H9I0J1K2P9,3
01J5A2B8C4D9E3F6G7H8I9J0M3,01J5B3C9D5E0F7G8H9I0J1K2Q0,5
01J4Z1K7N3P8Q2W5R6T9V0X1Y2,01J5B3C9D5E0F7G8H9I0J1K2Q2,4
01J4Z1K7N3P8Q2W5R6T9V0X1Y5,01J5B3C9D5E0F7G8H9I0J1K2Q3,3
01J4Z1K7N3P8Q2W5R6T9V0X1Y8,01J5B3C9D5E0F7G8H9I0J1K2Q4,5
01J4Z1K7N3P8Q2W5R6T9V0X2A1,01J5B3C9D5E0F7G8H9I0J1K2Q5,1
01J4Z1K7N3P8Q2W5R6T9V0X2A4,01J5B3C9D5E0F7G8H9I0J1K2Q6,5
01J4Z1K7N3P8Q2W5R6T9V0X2B1,01J5B3C9D5E0F7G8H9I0J1K2Q7,3
01J4Z1K7N3P8Q2W5R6T9V0X2B5,01J5B3C9D5E0F7G8H9I0J1K2Q8,4
01J4Z1K7N3P8Q2W5R6T9V0X2C5,01J5B3C9D5E0F7G8H9I0J1K2R0,5
01J4Z1K7N3P8Q2W5R6T9V0X2D1,01J5B3C9D5E0F7G8H9I0J1K2R1,3
01J4Z1K7N3P8Q2W5R6T9V0X2D7,01J5B3C9D5E0F7G8H9I0J1K2L3,5
01J4Z1K7N3P8Q2W5R6T9V0X2E1,01J5B3C9D5E0F7G8H9I0J1K2L4,2
01J5A2B8C4D9E3F6G7H8I9J0K2,01J5B3C9D5E0F7G8H9I0J1K2L5,4
01J5A2B8C4D9E3F6G7H8I9J0K4,01J5B3C9D5E0F7G8H9I0J1K2L6,3
01J5A2B8C4D9E3F6G7H8I9J0K6,01J5B3C9D5E0F7G8H9I0J1K2L7,5
01J5A2B8C4D9E3F6G7H8I9J0L0,01J5B3C9D5E0F7G8H9I0J1K2L9,1
01J5A2B8C4D9E3F6G7H8I9J0L2,01J5B3C9D5E0F7G8H9I0J1K2M0,3
01J5A2B8C4D9E3F6G7H8I9J0L4,01J5B3C9D5E0F7G8H9I0J1K2M1,4
01J5A2B8C4D9E3F6G7H8I9J0M0,01J5B3C9D5E0F7G8H9I0J1K2M2,5
01J5A2B8C4D9E3F6G7H8I9J0M2,01J5B3C9D5E0F7G8H9I0J1K2M3,5
01J5A2B8C4D9E3F6G7H8I9J0M4,01J5B3C9D5E0F7G8H9I0J1K2M4,2
01J4Z1K7N3P8Q2W5R6T9V0X1Y4,01J5B3C9D5E0F7G8H9I0J1K2M5,3
01J4Z1K7N3P8Q2W5R6T9V0X1Y6,01J5B3C9D5E0F7G8H9I0J1K2M6,4
01J4Z1K7N3P8Q2W5R6T9V0X2A6,01J5B3C9D5E0F7G8H9I0J1K2M8,5
01J4Z1K7N3P8Q2W5R6T9V0X2B3,01J5B3C9D5E0F7G8H9I0J1K2M9,3
01J4Z1K7N3P8Q2W5R6T9V0X2C3,01J5B3C9D5E0F7G8H9I0J1K2N0,5
01J4Z1K7N3P8Q2W5R6T9V0X2D5,01J5B3C9D5E0F7G8H9I0J1K2N1,1
01J5A2B8C4D9E3F6G7H8I9J0K1,01J5B3C9D5E0F7G8H9I0J1K2N2,4
01J5A2B8C4D9E3F6G7H8I9J0K3,01J5B3C9D5E0F7G8H9I0J1K2N3,3
01J5A2B8C4D9E3F6G7H8I9J0K5,01J5B3C9D5E0F7G8H9I0J1K2N4,5
01J5A2B8C4D9E3F6G7H8I9J0K9,01J5B3C9D5E0F7G8H9I0J1K2N6,5
01J5A2B8C4D9E3F6G7H8I9J0L1,01J5B3C9D5E0F7G8H9I0J1K2N7,3
01J5A2B8C4D9E3F6G7H8I9J0L3,01J5B3C9D5E0F7G8H9I0J1K2N8,4
01J5A2B8C4D9E3F6G7H8I9J0L5,01J5B3C9D5E0F7G8H9I0J1K2N9,2
01J5A2B8C4D9E3F6G7H8I9J0L7,01J5B3C9D5E0F7G8H9I0J1K2P0,5
01J5A2B8C4D9E3F6G7H8I9J0L9,01J5B3C9D5E0F7G8H9I0J1K2P1,3
01J5A2B8C4D9E3F6G7H8I9J0M1,01J5B3C9D5E0F7G8H9I0J1K2P2,5
01J5A2B8C4D9E3F6G7H8I9J0M5,01J5B3C9D5E0F7G8H9I0J1K2P4,4
01J4Z1K7N3P8Q2W5R6T9V0X1Y2,01J5B3C9D5E0F7G8H9I0J1K2P5,3
01J4Z1K7N3P8Q2W5R6T9V0X1Y3,01J5B3C9D5E0F7G8H9I0J1K2P6,5
01J4Z1K7N3P8Q2W5R6T9V0X1Y5,01J5B3C9D5E0F7G8H9I0J1K2P7,1
01J4Z1K7N3P8Q2W5R6T9V0X1Y7,01J5B3C9D5E0F7G8H9I0J1K2P8,4
01J4Z1K7N3P8Q2W5R6T9V0X2A0,01J5B3C9D5E0F7G8H9I0J1K2P9,3
01J4Z1K7N3P8Q2W5R6T9V0X2A2,01J5B3C9D5E0F7G8H9I0J1K2Q0,5
01J4Z1K7N3P8Q2W5R6T9V0X2A6,01J5B3C9D5E0F7G8H9I0J1K2Q2,5
01J4Z1K7N3P8Q2W5R6T9V0X2B0,01J5B3C9D5E0F7G8H9I0J1K2Q3,3
01J4Z1K7N3P8Q2W5R6T9V0X2B2,01J5B3C9D5E0F7G8H9I0J1K2Q4,4
01J4Z1K7N3P8Q2W5R6T9V0X2B4,01J5B3C9D5E0F7G8H9I0J1K2Q5,2
01J4Z1K7N3P8Q2W5R6T9V0X2B6,01J5B3C9D5E0F7G8H9I0J1K2Q6,5
01J4Z1K7N3P8Q2W5R6T9V0X2C0,01J5B3C9D5E0F7G8H9I0J1K2Q7,3
01J4Z1K7N3P8Q2W5R6T9V0X2C2,01J5B3C9D5E0F7G8H9I0J1K2Q8,4
01J4Z1K7N3P8Q2W5R6T9V0X2C4,01J5B3C9D5E0F7G8H9I0J1K2Q9,5
01J4Z1K7N3P8Q2W5R6T9V0X2D0,01J5B3C9D5E0F7G8H9I0J1K2R1,3
01J4Z1K7N3P8Q2W5R6T9V0X2D2,01J5B3C9D5E0F7G8H9I0J1K2L3,5
01J4Z1K7N3P8Q2W5R6T9V0X2D4,01J5B3C9D5E0F7G8H9I0J1K2L4,1
01J4Z1K7N3P8Q2W5R6T9V0X2D6,01J5B3C9D5E0F7G8H9I0J1K2L5,4
01J4Z1K7N3P8Q2W5R6T9V0X2D8,01J5B3C9D5E0F7G8H9I0J1K2L6,3
01J4Z1K7N3P8Q2W5R6T9V0X2E0,01J5B3C9D5E0F7G8H9I0J1K2L7,5
01J5A2B8C4D9E3F6G7H8I9J0K3,01J5B3C9D5E0F7G8H9I0J1K2L9,5
01J5A2B8C4D9E3F6G7H8I9J0K5,01J5B3C9D5E0F7G8H9I0J1K2M0,3
01J5A2B8C4D9E3F6G7H8I9J0K7,01J5B3C9D5E0F7G8H9I0J1K2M1,4
01J5A2B8C4D9E3F6G7H8I9J0K9,01J5B3C9D5E0F7G8H9I0J1K2M2,2
01J5A2B8C4D9E3F6G7H8I9J0L1,01J5B3C9D5E0F7G8H9I0J1K2M3,5
01J5A2B8C4D9E3F6G7H8I9J0L3,01J5B3C9D5E0F7G8H9I0J1K2M4,3
01J5A2B8C4D9E3F6G7H8I9J0L5,01J5B3C9D5E0F7G8H9I0J1K2M5,5
01J5A2B8C4D9E3F6G7H8I9J0L9,01J5B3C9D5E0F7G8H9I0J1K2M7,4
01J5A2B8C4D9E3F6G7H8I9J0M1,01J5B3C9D5E0F7G8H9I0J1K2M8,3
01J5A2B8C4D9E3F6G7H8I9J0M3,01J5B3C9D5E0F7G8H9I0J1K2M9,5
01J5A2B8C4D9E3F6G7H8I9J0M5,01J5B3C9D5E0F7G8H9I0J1K2N0,1
